Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Processed_Text,Calculated_Sentiment,Date
 Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13,reflecting on the past and looking ahead.,Negative,2023-01-19
 Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17,just adopted a cute furry friend! 🐾,Positive,2023-01-19
 Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0,late-night gaming session with friends.,Neutral,2023-01-20
 Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11,attending a virtual conference on ai.,Neutral,2023-01-20
 Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15,winter blues got me feeling low.,Neutral,2023-01-20
 Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8,sipping coffee and enjoying a good book.,Positive,2023-01-21
 Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13,exploring the world of virtual reality.,Neutral,2023-01-21
 Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16,productive day ticking off my to-do list.,Neutral,2023-01-21
 Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9,just finished a challenging workout routine.,Positive,2023-01-22
 Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14,celebrating a milestone at work! 🎉,Neutral,2023-01-22
 Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12,sunday brunch with friends.,Neutral,2023-01-22
 Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16,learning a new language for personal growth.,Positive,2023-01-23
 Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19,quiet evening with a good book.,Positive,2023-01-23
 Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11,reflecting on the importance of mental health.,Negative,2023-01-24
 New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15,new painting in progress! 🎨,Positive,2023-01-24
 Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17,weekend road trip to explore scenic views.,Neutral,2023-01-24
 Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18,enjoying a cup of tea and watching the sunset.,Positive,2023-01-25
 Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13,coding a new project with enthusiasm.,Positive,2023-01-25
 Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9,feeling inspired after attending a workshop.,Neutral,2023-01-26
 Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14,winter sports day at the local park.,Neutral,2023-01-26
 Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17,quality time with family this weekend.,Neutral,2023-01-26
 Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20,attending a live music concert tonight.,Positive,2023-01-27
 Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12,practicing mindfulness with meditation.,Neutral,2023-01-27
 Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16,trying out a new dessert recipe.,Positive,2023-01-27
 Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9,excited about the upcoming gaming tournament.,Positive,2023-01-28
 Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14,planning a garden makeover for spring.,Neutral,2023-01-28
 Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19,celebrating a friend's birthday tonight! 🎂,Neutral,2023-01-28
 Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17,feeling accomplished after a productive day.,Positive,2023-01-29
 A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20,a cozy evening with a good movie.,Positive,2023-01-29
 Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11,exploring local art galleries this weekend.,Neutral,2023-01-30
 New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15,new book release from my favorite author!,Positive,2023-01-30
 Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18,attending a virtual reality meetup.,Neutral,2023-01-30
 Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10,reflecting on the beauty of nature.,Neutral,2023-01-31
 Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19,cooking a special dinner for loved ones.,Positive,2023-01-31
 Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16,feeling optimistic about the week ahead.,Neutral,2023-01-31
 Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10,pure happiness: celebrating a loved one's achievement!,Positive,2023-02-13
 Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19,laughter is the best medicine—enjoying a comedy show.,Positive,2023-02-13
 Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8,sharing love and positive vibes with everyone! ❤️,Positive,2023-02-14
 An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14,an amusing incident brightened up my day!,Positive,2023-02-14
 Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19,enjoying a quiet evening with a book and some tea.,Positive,2023-02-14
 Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11,admiring the beauty of nature during a peaceful hike.,Positive,2023-02-15
 Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16,sending affectionate vibes to all my followers!,Neutral,2023-02-15
 Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20,experiencing awe at the breathtaking sunset.,Positive,2023-02-15
 Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9,disappointed with the service at a local restaurant.,Negative,2023-02-16
 A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14,a surprise gift from a friend made my day!,Neutral,2023-02-16
 Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18,finding acceptance in the midst of life's challenges.,Neutral,2023-02-16
 Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10,overflowing with adoration for my adorable pet! 🐾,Positive,2023-02-17
 Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7,anticipating a thrilling adventure in the coming weeks.,Positive,2023-02-17
 A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15,a bitter experience turned into a valuable lesson.,Negative,2023-02-17
 Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9,finding calmness in the midst of a busy day.,Positive,2023-02-18
 Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14,confusion clouds my mind as i navigate through decisions.,Neutral,2023-02-18
 Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18,excitement building up for the upcoming vacation!,Neutral,2023-02-18
 Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11,kindness witnessed today restored my faith in humanity.,Neutral,2023-02-19
 Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16,pride in achieving a personal milestone.,Neutral,2023-02-19
 A moment of shame for not standing up against injustice. , Shame        ,2023-02-19 19:45:00, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19,a moment of shame for not standing up against injustice.,Neutral,2023-02-19
 Fuming with anger after a heated argument.            , Anger        ,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9,fuming with anger after a heated argument.,Negative,2023-02-20
 The fear of the unknown is keeping me up at night.    , Fear         ,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21,the fear of the unknown is keeping me up at night.,Negative,2023-02-20
 Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14,heartfelt sadness after bidding farewell to a dear friend.,Neutral,2023-02-21
 The state of corruption in our society is utterly disgusting. , Disgust      ,2023-02-21 18:20:00, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18,the state of corruption in our society is utterly disgusting.,Negative,2023-02-21
 Overflowing happiness: welcoming a new family member!  , Happiness    ,2023-02-22 10:00:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10,overflowing happiness: welcoming a new family member!,Positive,2023-02-22
 Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19,laughter is the key to joy—attending a stand-up comedy show.,Neutral,2023-02-22
 Sending love to all my followers on this beautiful day! ❤️ , Love         ,2023-02-23 08:30:00, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8,sending love to all my followers on this beautiful day! ❤️,Positive,2023-02-23
 Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2023-02-23 14:20:00, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14,amused by the antics of my pet—it's pure amusement!,Positive,2023-02-23
 Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19,enjoying every moment of this trip—pure enjoyment!,Positive,2023-02-23
 Admiring the dedication of volunteers at a local charity. , Admiration   ,2023-02-24 11:30:00, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11,admiring the dedication of volunteers at a local charity.,Neutral,2023-02-24
 Sending affectionate vibes to friends and family.        , Affection    ,2023-02-24 16:00:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16,sending affectionate vibes to friends and family.,Neutral,2023-02-24
